Subject,Hdefault,Adaptivity,Noise,Norm_Ipast,Ipast,Ifuture,X_Ipast,X_Ifuture,Corr_S1,Corr_S2,Corr_S3
JL9023,0.24245633586677,0.650899834687183,1.08519552084544,0.237733993812397,0.278662611635062,0.109635265205462,0.0409286178226655,0.0409286178226655,NaN,0.663663663663664,NaN
KC8422,0.259131572820076,0.329249154949798,0.826163608106247,0.222116268112027,0.291455337981085,0.206787753565702,0.0693390698690587,0.0691965470564052,0.790790790790791,0.651651651651652,0.700700700700701
KG8983,0.347095022345692,0.451172324659807,0.946414627412624,0.253520263423066,0.322859333292125,0.177974474169512,0.0693390698690587,0.0691965470564052,0.736736736736737,0.65965965965966,0.794794794794795
KN7070,0.148437645442901,0.452608475170833,0.841981866305128,0.280355221218974,0.349694291088033,0.256037157112331,0.0693390698690587,0.0691965470564052,0.847847847847848,0.600600600600601,0.786786786786787
KN8046,0.0661179909009511,0.706883951562273,1.35983235596259,0.285295555546678,0.386623718944757,0.294418527560297,0.101328163398079,0.101328163398079,NaN,NaN,0.797797797797798
LB8988,0.372952001575995,0.0872864703334961,0.289512186461794,0.108683994576788,0.178023064445847,0.165561873562075,0.0693390698690587,0.0691965470564052,0.736736736736737,0.682682682682683,0.640640640640641
LI9012,0.148672678426649,0.155725887774788,0.884847930095772,0.0712774820998718,0.179347014142578,0.127311162509832,0.108069532042706,0.108027119326742,0.761761761761762,NaN,NaN
MD8979,0.276550159193825,0.147293124441971,0.256072347572336,0.114448968900856,0.155377586723521,0.0670479822637492,0.0409286178226655,0.0409286178226655,NaN,0.554554554554555,NaN
MW1,0.280165110072755,0.820157252718372,3.10181901184122,0.116776248158715,0.177840577256292,0.118267180325058,0.061064329097577,0.0609800319977635,NaN,0.628628628628629,0.66966966966967
ND8500,0.56256337947966,0.387704485115561,3.60355253867961,0.0914482033396627,0.160787273208721,0.12115769587428,0.0693390698690587,0.0691965470564052,0.786786786786787,0.667667667667668,0.236236236236236
NF7105,0.269241899944297,0.577310800780939,1.07003399692834,0.2775400256378,0.333696368722863,0.203653907668144,0.0561563430850631,0.0561515009449643,0.788788788788789,0.667667667667668,NaN
NH8916,0.288271772511477,0.640506608636701,1.80003135140026,0.167096614289102,0.236435684158161,0.147878878046359,0.0693390698690587,0.0691965470564052,0.757757757757758,0.626626626626627,0.728728728728729
NM8986,0.181313172849647,0.745590853600931,1.77920884420696,0.205811317621563,0.306992822522633,0.192398463927445,0.10118150490107,0.100805218689782,0.782782782782783,NaN,0.762762762762763
NT7055,0.225751135066088,0.567121196262795,1.50322464097389,0.166492078119449,0.222648421204512,0.140652992616635,0.0561563430850631,0.0561515009449643,0.757757757757758,0.623623623623624,NaN
NT9020,0.163301666988986,0.637203474161828,4.41797234396451,-0.0183991399586542,0.082929023439425,0.0371571935708882,0.101328163398079,0.101328163398079,NaN,NaN,0.631631631631632
NY8428,0.25439313336558,0.467132151258469,0.812246427059809,0.320826780430912,0.390165850299971,0.226781510312902,0.0693390698690587,0.0691965470564052,0.802802802802803,0.650650650650651,0.800800800800801
