Var1,x,z,h,expH_bayes1,expH_bayes2,e1,e2,q1exp1,q1exp2
815,0,2,0.01,0.113002522395941,0.4918492248123,2.86794817389405,1.93959276877717,0.888780520123569,0.803192257915138
816,1,2,0.01,0.177510723638832,0.492137223398997,3.26365901990438,1.93882434912818,0.515445959777063,0.203287968835522
817,1,2,0.01,0.173534464188013,0.492021870810555,3.30481058355857,1.93932719610169,0.28261343866929,0.197198852063522
818,1,2,0.01,0.156799541373508,0.491898540041983,3.19704134017846,1.94040721913451,0.11896539993517,0.196827290851562
819,1,2,0.01,0.120317535167337,0.491775260365683,2.95029588289954,1.94153724527605,0.0670053718421592,0.196770793935479
820,1,2,0.01,0.0964659401472302,0.491652655704836,2.74053898927044,1.94270089139478,0.0399972612916598,0.196722656534046
821,1,2,0.01,0.076701963365883,0.491530727920509,2.54723502061725,1.94389640788706,0.0305740703092823,0.196675266195507
822,0,1,0.01,0.130010132383211,0.491824021325373,3.06775991828706,1.9431371002361,0.282003579711107,0.79658495855098
823,0,1,0.01,0.172400429022523,0.491710310602059,3.5435739535458,1.94370759416653,0.555621468586154,0.802914896049942
824,0,1,0.01,0.187058639297131,0.491588131971289,3.75107557674785,1.94486242200879,0.784523932936139,0.803292955205616
825,1,1,0.01,0.222084631546174,0.491881191261564,3.84831563174916,1.94406776522073,0.330607287367137,0.203392138087646
826,1,2,0.01,0.195882688211421,0.491766511191976,3.68121644764133,1.94461901992302,0.169082825040983,0.197106346519874
827,1,2,0.01,0.168025371801786,0.49164341020447,3.4848280999656,1.94575621821129,0.0853906570029387,0.196728302594558
828,1,2,0.01,0.135228357516496,0.491520304129662,3.24459289197963,1.94694492245919,0.0594668361984643,0.196671427543613
829,1,2,0.01,0.111617419793337,0.491397837885825,3.03559572947626,1.94816785438814,0.043443157140031,0.196623301433736
830,1,2,0.01,0.0923463535773033,0.491276014640229,2.84262260693918,1.94942319092524,0.0355737548329155,0.196575928952777
831,1,2,0.01,0.0784979766918932,0.491154814866784,2.6802404984148,1.95071075144667,0.029445851022438,0.196528808660179
832,1,2,0.01,0.0678578064656031,0.491034217434261,2.53965342517019,1.95203042106471,0.025401731354519,0.19648191303707
833,1,2,0.01,0.0599844362179847,0.490914201257077,2.42107342011486,1.95338208524939,0.0222304991273194,0.196435232679856
834,1,2,0.01,0.053935630093955,0.4907947453715,2.31942965586847,1.9547656242041,0.0199144743240283,0.196388759470858
835,0,2,0.01,0.0869908293774804,0.491100700718082,2.74456840373244,1.95402463749146,0.22777735095676,0.796291622480029
836,1,2,0.01,0.075903977265811,0.491391428186618,2.52101199233841,1.95381955458867,0.0640103374051882,0.203215032965131
837,1,2,0.01,0.0603896306201567,0.491277245560231,2.33161226081859,1.95448870316535,0.0335485852822099,0.196917518782805
838,1,2,0.01,0.0531691290801276,0.491154599966736,2.21808474964909,1.95573456161955,0.0211738096942662,0.196537938798071
839,1,2,0.01,0.0468882358073051,0.491031874930617,2.11984595348893,1.95703250553518,0.0179736921697935,0.196480980218564
840,1,2,0.01,0.0430149235370222,0.490909724179075,2.04505528467522,1.95836564624986,0.0157253482648806,0.19643292268423
841,1,2,0.01,0.0399444166257439,0.490788151191273,1.98087211541288,1.95973212592967,0.0146151250824485,0.19638560570301
842,1,2,0.01,0.0377506157098617,0.490667136113899,1.92736100013142,1.96113173485727,0.0136885301723798,0.196338516260894
843,0,2,0.01,0.0636866825072704,0.490977287301731,2.29178511440151,1.9603055683417,0.174617835727098,0.796239328460609
